sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","savedsearch_name","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_savedsearch_name","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin__SplunkAppForWebAnalytics__search2_1475193021.33","| metasearch | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local| eval search=value] | stats count AS events by host, source | search host=*** OR source=***   | lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Configured=site | fields host source Configured site events",testingserver,"1475193021.119881",0,25043,1475193021,1,25043,completed,"0.243000",search2,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193021.34","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193021.146801",0,0,1475193021,0,0,completed,"0.044000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193021.35","| inputlookup WA_settings.csv | search key=site | fields value host source | rename value AS Site, host AS Host, source as Source",testingserver,"1475193021.163187",0,0,1475193021,0,0,completed,"0.018000",search1,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475193057.36","|inputlookup WA_settings.csv | search (host!=""testingserver"" OR source!=""/opt/splunk/etc/apps/SplunkAppForWebAnalytics/sampledata/apache.log"") | append [search | stats count | eval key=""site""| eval value=""sampledata.com""| eval host=""testingserver"" | eval source=""/opt/splunk/etc/apps/SplunkAppForWebAnalytics/sampledata/apache.log""] | fields key value source host | sort key value | outputlookup WA_settings.csv createinapp=t | eval Response=""Site was succesfully saved."" | head 1 | fields Response",testingserver,"1475193057.613932",0,0,1475193057,1,0,completed,"0.265000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193115.37","| inputlookup WA_settings.csv | search key=site | fields value host source | rename value AS Site, host AS Host, source as Source",testingserver,"1475193115.377406",0,0,1475193115,1,0,completed,"0.014000",search1,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193131.38","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475193131.328345",0,5,1475193131,1,55,completed,"0.290000",search1,"1420038000.000000000","1475193131.000000000","1420038000.000000000","1475193131.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475193131.39","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value] | stats count AS events by host, source  |  lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Check=site | fields host source Check",testingserver,"1475193131.330195",0,25043,1475193131,1,25043,completed,"0.128000",search2,,"1475193131.000000000",,"1475193131.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475193132.40","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] | transpose | rename column AS Lookup ""row 1"" as Count | eval Check=Count",testingserver,"1475193132.475191",0,0,1475193133,2,0,completed,"0.382000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193132.42","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193132.580406",0,0,1475193133,0,0,completed,"0.369000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD594eb352e8b5d09df_1475193133.43","| outputlookup WA_goals.csv createinapp=t append=t",testingserver,"1475193133.129003",0,0,1475193133,0,0,completed,"0.027000","createlookup_goals",,,,,,,,,,,,,,,,,,,,
"1475193232.44","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] ",testingserver,"1475193232.967247",0,0,1475193233,1,0,completed,"0.039000",,,,,,,,,,,,,,,,,,,,,
"1475193241.46","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages]",testingserver,"1475193241.815253",0,0,1475193241,1,0,completed,"0.090000",,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193279.47","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475193279.589026",0,5,1475193279,1,55,completed,"0.319000",search1,"1420038000.000000000","1475193279.000000000","1420038000.000000000","1475193279.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475193279.48","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value] | stats count AS events by host, source  |  lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Check=site | fields host source Check",testingserver,"1475193279.611552",0,25043,1475193279,1,25043,completed,"0.213000",search2,,"1475193279.000000000",,"1475193279.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475193280.49","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] | transpose | rename column AS Lookup ""row 1"" as Count | eval Check=Count",testingserver,"1475193280.563055",0,0,1475193280,2,0,completed,"0.337000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search4_1475193280.50","| rest /servicesNS/-/-/data/models splunk_server=local | rename ""acceleration.earliest_time"" as Acceleration_Retention ""eai:acl.app"" as App ""acceleration.cron_schedule"" as Cron ""acceleration"" as Acceleration title AS Data_Model | table Data_Model App Acceleration Cron Acceleration_Retention updated  | eval Cron=if(isnull(Cron),"""",Cron) | join App type=outer [| rest /servicesNS/nobody/SplunkAppForWebAnalytics/admin/summarization/tstats:DM_SplunkAppForWebAnalytics_Web splunk_server=local | fields eai:acl.app summary*  | rename summary.access_count AS ""Access_Count""  summary.access_time AS ""Last_Access"" summary.buckets AS ""Buckets"" summary.complete AS ""Status"" summary.size AS ""Size_on_Disk_(Mb)"" summary.last_error AS ""Last_Error"" summary.time_range AS ""Summary_Range"" summary.mod_time AS ""Updated"" summary.earliest_time AS ""Min_Time"" summary.latest_time AS ""Max_Time"" summary.is_inprogress AS ""Summary_in_Progress"" eai:acl.app AS App | eval Status=round(Status*100,2).""%"" ] | table Data_Model App Acceleration Acceleration_Retention Cron Summary_in_Progress Status Size_on_Disk_(Mb) Last_Error Min_Time Max_Time Now_Time Lag_Seconds Lag_Minutes Lag_Hours | where like(Data_Model,""Web"") | eval Status=if(isnull(Status),""0.00%"",Status) | fields Acceleration Status | transpose | rename column AS Web ""row 1"" as Value | eval Check=Value | append [| tstats summariesonly=t  count AS Events FROM datamodel=Web | transpose | rename column AS Web ""row 1"" AS Value | eval Check=Value]",testingserver,"1475193280.587382",0,0,1475193281,3,0,completed,"0.416000",search4,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193280.51","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193280.761118",0,0,1475193281,0,0,completed,"0.085000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD594eb352e8b5d09df_1475193280.52","| outputlookup WA_goals.csv createinapp=t append=t",testingserver,"1475193281.080367",0,0,1475193281,0,0,completed,"0.022000","createlookup_goals",,,,,,,,,,,,,,,,,,,,
"1475193286.53","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] ",testingserver,"1475193286.695313",0,0,1475193286,1,0,completed,"0.053000",,,,,,,,,,,,,,,,,,,,,
"1475193291.55","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages]",testingserver,"1475193291.686712",0,0,1475193291,1,0,completed,"0.079000",,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475193321.58","| metasearch | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local| eval search=value] | stats count AS events by host, source | search host=*** OR source=***   | lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Configured=site | fields host source Configured site events",testingserver,"1475193321.820473",0,25043,1475193321,1,25043,completed,"0.267000",search2,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193321.59","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193321.844020",0,0,1475193321,0,0,completed,"0.012000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193321.60","| inputlookup WA_settings.csv | search key=site | fields value host source | rename value AS Site, host AS Host, source as Source",testingserver,"1475193321.852477",0,0,1475193322,1,0,completed,"0.024000",search1,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193342.61","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193342.219352",0,0,1475193342,0,0,completed,"0.018000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475193342.62","| metasearch | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local| eval search=value] | stats count AS events by host, source | search host=*** OR source=***   | lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Configured=site | fields host source Configured site events",testingserver,"1475193342.226941",0,25043,1475193342,1,25043,completed,"0.225000",search2,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193342.63","| inputlookup WA_settings.csv | search key=site | fields value host source | rename value AS Site, host AS Host, source as Source",testingserver,"1475193342.232689",0,0,1475193342,1,0,completed,"0.015000",search1,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193348.64","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475193348.196595",0,5,1475193348,1,55,completed,"0.272000",search1,"1420038000.000000000","1475193348.000000000","1420038000.000000000","1475193348.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475193348.65","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value] | stats count AS events by host, source  |  lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Check=site | fields host source Check",testingserver,"1475193348.261755",0,25043,1475193348,1,25043,completed,"0.161000",search2,,"1475193348.000000000",,"1475193348.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475193349.66","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] | transpose | rename column AS Lookup ""row 1"" as Count | eval Check=Count",testingserver,"1475193349.228234",0,0,1475193350,2,0,completed,"0.222000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search4_1475193349.67","| rest /servicesNS/-/-/data/models splunk_server=local | rename ""acceleration.earliest_time"" as Acceleration_Retention ""eai:acl.app"" as App ""acceleration.cron_schedule"" as Cron ""acceleration"" as Acceleration title AS Data_Model | table Data_Model App Acceleration Cron Acceleration_Retention updated  | eval Cron=if(isnull(Cron),"""",Cron) | join App type=outer [| rest /servicesNS/nobody/SplunkAppForWebAnalytics/admin/summarization/tstats:DM_SplunkAppForWebAnalytics_Web splunk_server=local | fields eai:acl.app summary*  | rename summary.access_count AS ""Access_Count""  summary.access_time AS ""Last_Access"" summary.buckets AS ""Buckets"" summary.complete AS ""Status"" summary.size AS ""Size_on_Disk_(Mb)"" summary.last_error AS ""Last_Error"" summary.time_range AS ""Summary_Range"" summary.mod_time AS ""Updated"" summary.earliest_time AS ""Min_Time"" summary.latest_time AS ""Max_Time"" summary.is_inprogress AS ""Summary_in_Progress"" eai:acl.app AS App | eval Status=round(Status*100,2).""%"" ] | table Data_Model App Acceleration Acceleration_Retention Cron Summary_in_Progress Status Size_on_Disk_(Mb) Last_Error Min_Time Max_Time Now_Time Lag_Seconds Lag_Minutes Lag_Hours | where like(Data_Model,""Web"") | eval Status=if(isnull(Status),""0.00%"",Status) | fields Acceleration Status | transpose | rename column AS Web ""row 1"" as Value | eval Check=Value | append [| tstats summariesonly=t  count AS Events FROM datamodel=Web | transpose | rename column AS Web ""row 1"" AS Value | eval Check=Value]",testingserver,"1475193349.443658",0,0,1475193350,3,0,completed,"0.204000",search4,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193349.68","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193349.453197",0,0,1475193350,0,0,completed,"0.015000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD594eb352e8b5d09df_1475193349.69","| outputlookup WA_goals.csv createinapp=t append=t",testingserver,"1475193349.580711",0,0,1475193349,0,0,completed,"0.011000","createlookup_goals",,,,,,,,,,,,,,,,,,,,
"1475193553.70","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] ",testingserver,"1475193553.214352",0,0,1475193553,1,0,completed,"0.050000",,,,,,,,,,,,,,,,,,,,,
"1475193566.71","| inputlookup WA_sessions | stats dc(http_session) AS Sessions",testingserver,"1475193566.907655",0,0,1475193566,1,0,completed,"0.038000",,,,,,,,,,,,,,,,,,,,,
"1475193571.72","| inputlookup WA_sessions",testingserver,"1475193571.795205",0,0,1475193571,0,0,completed,"0.043000",,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193604.73","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475193604.027399",0,5,1475193604,1,55,completed,"0.252000",search1,"1420038000.000000000","1475193604.000000000","1420038000.000000000","1475193604.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search2_1475193604.74","| tstats prestats=t count where index=* by host,source,sourcetype  | search [rest /services/properties/eventtypes/web-traffic/search splunk_server=local | eval search=value] | stats count AS events by host, source  |  lookup WA_settings source AS source host AS host OUTPUTNEW value AS site | eval Check=site | fields host source Check",testingserver,"1475193604.034131",0,25043,1475193604,1,25043,completed,"0.125000",search2,,"1475193604.000000000",,"1475193604.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search3_1475193605.75","| inputlookup WA_sessions | stats dc(http_session) AS Sessions | appendcols [| inputlookup WA_pages | stats dc(http_request) AS Pages] | transpose | rename column AS Lookup ""row 1"" as Count | eval Check=Count",testingserver,"1475193605.044023",0,0,1475193606,2,0,completed,"0.191000",search3,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search4_1475193605.76","| rest /servicesNS/-/-/data/models splunk_server=local | rename ""acceleration.earliest_time"" as Acceleration_Retention ""eai:acl.app"" as App ""acceleration.cron_schedule"" as Cron ""acceleration"" as Acceleration title AS Data_Model | table Data_Model App Acceleration Cron Acceleration_Retention updated  | eval Cron=if(isnull(Cron),"""",Cron) | join App type=outer [| rest /servicesNS/nobody/SplunkAppForWebAnalytics/admin/summarization/tstats:DM_SplunkAppForWebAnalytics_Web splunk_server=local | fields eai:acl.app summary*  | rename summary.access_count AS ""Access_Count""  summary.access_time AS ""Last_Access"" summary.buckets AS ""Buckets"" summary.complete AS ""Status"" summary.size AS ""Size_on_Disk_(Mb)"" summary.last_error AS ""Last_Error"" summary.time_range AS ""Summary_Range"" summary.mod_time AS ""Updated"" summary.earliest_time AS ""Min_Time"" summary.latest_time AS ""Max_Time"" summary.is_inprogress AS ""Summary_in_Progress"" eai:acl.app AS App | eval Status=round(Status*100,2).""%"" ] | table Data_Model App Acceleration Acceleration_Retention Cron Summary_in_Progress Status Size_on_Disk_(Mb) Last_Error Min_Time Max_Time Now_Time Lag_Seconds Lag_Minutes Lag_Hours | where like(Data_Model,""Web"") | eval Status=if(isnull(Status),""0.00%"",Status) | fields Acceleration Status | transpose | rename column AS Web ""row 1"" as Value | eval Check=Value | append [| tstats summariesonly=t  count AS Events FROM datamodel=Web | transpose | rename column AS Web ""row 1"" AS Value | eval Check=Value]",testingserver,"1475193605.192161",0,0,1475193605,3,0,completed,"1.449000",search4,,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD516e4c269ecc047aa_1475193605.77","| outputlookup WA_settings.csv createinapp=t append=t",testingserver,"1475193605.193323",0,0,1475193606,0,0,completed,"0.016000","createlookup_settings",,,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__RMD594eb352e8b5d09df_1475193605.78","| outputlookup WA_goals.csv createinapp=t append=t",testingserver,"1475193605.395015",0,0,1475193606,0,0,completed,"0.087000","createlookup_goals",,,,,,,,,,,,,,,,,,,,
"1475193610.79","search tag=web | head 5 ",testingserver,"1475193610.118160",0,5,1475193610,5,55,completed,"0.357000",,"1420038000.000000000","1475193604.000000000","1420038000.000000000","1475193604.000000000",,,,,,,,,,,,,,,,
"admin__admin__SplunkAppForWebAnalytics__search1_1475193646.80","search tag=web | head 5 | stats count AS Events | eval Check=Events",testingserver,"1475193646.992749",0,5,1475193647,1,55,completed,"0.348000",search1,"1420038000.000000000","1475193646.000000000","1420038000.000000000","1475193646.000000000",,,,,,,,,,,,,,,,
